asin,cate,title
006145205X,Economics,The Rational Optimist: How Prosperity Evolves
1607148536,Graduate School,Kaplan New GRE Vocabulary Flashcards
0345528581,Home Improvement &amp; Design,You Are Your Own Gym: The Bible of Bodyweight Exercises
1455703338,Medicine,Admission Assessment Exam Review
0761919945,Medicine &amp; Health Sciences,It Could Happen To Anyone: Why Battered Women Stay
0393705560,Mental Health,The 10 Best-Ever Anxiety Management Techniques: Understanding How Your Brain Makes You Anxious and What You Can Do to Change It
1931059632,Personal Transformation,LA Vaca / The Cow (Spanish Edition)
0140280197,Politics & Government,The 48 Laws of Power
1439187193,Politics &amp; Government,"Broke: The Plan to Restore Our Trust, Truth and Treasure"
1741794560,Politics &amp; Government,Lonely Planet Dominican Republic &amp; Haiti (Travel Guide)
0142001198,Regional &amp; International,The Art of Seduction
1572247460,Relationships,Relationship Saboteurs: Overcoming the Ten Behaviors that Undermine Love
1572244992,Social Sciences,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy"
1936220253,Software,Microsoft Excel 2010 Functions &amp; Formulas Quick Reference Guide (4-page Cheat Sheet focusing on examples and context for intermediate-to-advanced functions and formulas- Laminated Guide)
1449319270,Web Development &amp; Design,"Learning Web Design: A Beginner's Guide to HTML, CSS, JavaScript, and Web Graphics"
1605295493,Women's Health,"The Women's Health Big Book of Exercises: Four Weeks to a Leaner, Sexier, Healthier YOU!"
0312644361,Women's Health,What's Up Down There?: Questions You'd Only Ask Your Gynecologist If She Was Your Best Friend
*
0143058258,"Writing, Research & Publishing Guides",The Artist's Way: A Spiritual Path to Higher Creativity
0393072231,"Writing, Research & Publishing Guides",The Big Short: Inside the Doomsday Machine
0140119906,Contemporary,Love in the Time of Cholera (Penguin Great Books of the 20th Century)
0099740915,Contemporary,The Handmaid's Tale (Contemporary Classics)
0340822775,Contemporary,Cloud Atlas
0006551807,Contemporary,The Namesake
0307263118,Contemporary,The Sea (Man Booker Prize)
0140058893,Contemporary,A confederacy of dunces
0143038583,Cooking Education & Reference,The Omnivore's Dilemma: A Natural History of Four Meals
0099464462,Fantasy,Time Traveler's Wife
0446670111,Genre Fiction,Einstein's Dreams
0307265439,Genre Fiction,The Road
0316126675,Genre Fiction,The Art of Fielding: A Novel
0143142801,Genre Fiction,The Brief Wondrous Life of Oscar Wao
0679439382,Genre Fiction,The Little Friend
0060755334,Literary,On The Road CD Unabridged
0316346624,Marketing &amp; Sales,The Tipping Point: How Little Things Can Make a Big Difference
0007281447,Memoirs,Open: An Autobiography
0385359594,Middle East,My Promised Land: The Triumph and Tragedy of Israel
031603438X,Music,Life
014029628X,Mystery,Girl in Hyacinth Blue
0743264738,Professionals &amp; Academics,Einstein: His Life and Universe
*
