asin,cate,title
0802438180,Leaders &amp; Notable People,Mover Of Men and Mountains
0375804757,Literature &amp; Fiction,Eloise Wilkin's Poems to Read to the Very Young (Lap Library)
0984358102,Management &amp; Leadership,The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime!
0814432867,Marketing &amp; Sales,"Do It! Marketing: 77 Instant-Action Ideas to Boost Sales, Maximize Profits, and Crush Your Competition"
0470110120,Mathematics,"How to Measure Anything: Finding the Value of ""Intangibles"" in Business"
0471121045,Mathematics,Against the Gods: The Remarkable Story of Risk
1561701688,Personal Finance,The Trick to Money Is Having Some
1401904750,Personal Transformation,The Abundance Book
1591844185,Professionals &amp; Academics,"Shark Tales: How I Turned $1,000 into a Billion Dollar Business"
0312929870,Professionals &amp; Academics,Grinding It Out: The Making of McDonald's
0936348070,Safety & First Aid,Crisis Preparedness Handbook: A Comprehensive Guide to Home Storage and Physical Survival
0473251256,Small Business &amp; Entrepreneurship,The Suitcase Entrepreneur
1419700596,Television,The Oprah Winfrey Show: Reflections on an American Legacy
*
